t_s,V_pu,delta_V_pu,V_initial_pu
5.36,1.0542321020385317,0.005232102044709475,1.0489999999938222
5.37,1.0542339218831236,0.005233921889301385,1.0489999999938222
5.38,1.0542360653303848,0.005236065336562623,1.0489999999938222
5.39,1.0542385285875815,0.005238528593759284,1.0489999999938222
5.4,1.0542413078756598,0.005241307881837631,1.0489999999938222
5.41,1.0542443994397257,0.0052443994459034915,1.0489999999938222
5.42,1.0542477995344373,0.00524779954061505,1.0489999999938222
5.43,1.0542515044335832,0.005251504439760968,1.0489999999938222
5.44,1.0542555104265807,0.0052555104327585145,1.0489999999938222
5.45,1.0542598138246217,0.005259813830799542,1.0489999999938222
5.46,1.0542644109528703,0.00526441095904806,1.0489999999938222
5.47,1.0542692981523478,0.005269298158525615,1.0489999999938222
5.48,1.054274471788879,0.005274471795056801,1.0489999999938222
5.49,1.0542799282405968,0.00527992824677459,1.0489999999938222
5.5,1.0542856639062672,0.0052856639124450044,1.0489999999938222
5.51,1.0542916752017892,0.005291675207967028,1.0489999999938222
5.52,1.0542979585663848,0.005297958572562544,1.0489999999938222
5.53,1.0543045104549562,0.005304510461134004,1.0489999999938222
5.54,1.0543113273419347,0.00531132734811246,1.0489999999938222
5.55,1.0543184057199189,0.005318405726096653,1.0489999999938222
5.56,1.05432574210717,0.005325742113347687,1.0489999999938222
5.57,1.0543333330360385,0.005333333042216282,1.0489999999938222
5.58,1.0543411750594303,0.00534117506560805,1.0489999999938222
5.59,1.0543492647547466,0.005349264760924344,1.0489999999938222
5.6,1.0543575987158955,0.005357598722073309,1.0489999999938222
5.61,1.0543661735554806,0.005366173561658361,1.0489999999938222
5.62,1.054374985913551,0.005374985919728736,1.0489999999938222
5.63,1.0543840324444191,0.005384032450596932,1.0489999999938222
5.64,1.0543933098250848,0.005393309831262627,1.0489999999938222
5.65,1.0544028147518951,0.005402814758072916,1.0489999999938222
5.66,1.0544125439462457,0.005412543952423521,1.0489999999938222
5.67,1.054422494146618,0.0054224941527958315,1.0489999999938222
5.68,1.0544326621106472,0.005432662116825027,1.0489999999938222
5.69,1.0544430446234425,0.005443044629620308,1.0489999999938222
5.7,1.0544536384848517,0.005453638491029533,1.0489999999938222
5.71,1.0544644405175123,0.005464440523690106,1.0489999999938222
5.72,1.0544754475635203,0.005475447569698089,1.0489999999938222
5.73,1.054486656489966,0.005486656496143771,1.0489999999938222
5.74,1.0544980641809916,0.00549806418716936,1.0489999999938222
5.75,1.0545096675401768,0.005509667546354624,1.0489999999938222
5.76,1.0545214634973672,0.005521463503544988,1.0489999999938222
5.77,1.0545334489980052,0.005533449004182955,1.0489999999938222
5.78,1.0545456210098851,0.005545621016062929,1.0489999999938222
5.79,1.0545579765212472,0.005557976527424957,1.0489999999938222
5.8,1.0545705125394627,0.005570512545640449,1.0489999999938222
5.81,1.0545832260964274,0.005583226102605199,1.0489999999938222
5.82,1.0545961142404345,0.005596114246612327,1.0489999999938222
5.83,1.054609174041329,0.005609174047506826,1.0489999999938222
