t_s,V_pu,delta_V_pu,V_initial_pu
4.91,0.9566287701417093,-0.0033712298620550696,0.9600000000037644
4.92,0.9566302998678786,-0.003369700135885778,0.9600000000037644
4.93,0.9566318396578886,-0.003368160345875837,0.9600000000037644
4.94,0.956633388691784,-0.00336661131198035,0.9600000000037644
4.95,0.9566349461297146,-0.0033650538740498392,0.9600000000037644
4.96,0.9566365111144868,-0.0033634888892776216,0.9600000000037644
4.97,0.9566380827741116,-0.0033619172296528443,0.9600000000037644
4.98,0.9566396602243444,-0.003360339779419963,0.9600000000037644
4.99,0.9566412425711984,-0.003358757432565973,0.9600000000037644
5.0,0.9566428289134439,-0.003357171090320521,0.9600000000037644
5.01,0.9566444183450694,-0.003355581658694984,0.9600000000037644
5.02,0.9566460099577089,-0.0033539900460555216,0.9600000000037644
5.03,0.956647602843027,-0.0033523971607374303,0.9600000000037644
5.04,0.9566491960950577,-0.0033508039087066788,0.9600000000037644
5.05,0.9566507888124846,-0.003349211191279844,0.9600000000037644
5.06,0.9566523801008663,-0.0033476199028981135,0.9600000000037644
5.07,0.9566539690748016,-0.0033460309289627954,0.9600000000037644
5.08,0.9566555548600213,-0.003344445143743102,0.9600000000037644
5.09,0.9566571365954083,-0.0033428634083561004,0.9600000000037644
5.1,0.9566587134349467,-0.003341286568817714,0.9600000000037644
5.11,0.9566602845495868,-0.0033397154541775498,0.9600000000037644
5.12,0.956661849129031,-0.0033381508747334365,0.9600000000037644
5.13,0.9566634063834266,-0.00333659362033778,0.9600000000037644
5.14,0.9566649555449828,-0.003335044458781633,0.9600000000037644
5.15,0.9566664958694832,-0.00333350413428124,0.9600000000037644
5.16,0.9566680266377122,-0.0033319733660521766,0.9600000000037644
5.17,0.9566695471567845,-0.003330452846979859,0.9600000000037644
5.18,0.9566710567613824,-0.0033289432423819765,0.9600000000037644
5.19,0.9566725548148877,-0.003327445188876732,0.9600000000037644
5.2,0.9566740407104193,-0.0033259592933451154,0.9600000000037644
5.21,0.9566755138717755,-0.0033244861319888797,0.9600000000037644
5.22,0.9566769737542681,-0.003323026249496319,0.9600000000037644
5.23,0.9566784198454625,-0.0033215801583018623,0.9600000000037644
5.24,0.9566798516658185,-0.0033201483379459162,0.9600000000037644
5.25,0.9566812687692297,-0.003318731234534744,0.9600000000037644
5.26,0.9566826707434639,-0.0033173292603004834,0.9600000000037644
5.27,0.9566840572105123,-0.0033159427932520913,0.9600000000037644
5.28,0.9566854278268341,-0.0033145721769303194,0.9600000000037644
5.29,0.9566867822835103,-0.003313217720254058,0.9600000000037644
5.3,0.9566881203063078,-0.00331187969745661,0.9600000000037644
5.31,0.9566894416556462,-0.00331055834811822,0.9600000000037644
5.32,0.9566907461264791,-0.003309253877285312,0.9600000000037644
5.33,0.9566920335480869,-0.0033079664556775468,0.9600000000037644
5.34,0.9566933037837859,-0.0033066962199784777,0.9600000000037644
5.35,0.9566945567305565,-0.0033054432732079198,0.9600000000037644
5.36,0.9566957923185874,-0.0033042076851770297,0.9600000000037644
5.37,0.9566970105107516,-0.0033029894930127757,0.9600000000037644
5.38,0.9566982113020006,-0.003301788701763786,0.9600000000037644
5.39,0.9566993947186962,-0.0033006052850681478,0.9600000000037644
5.4,0.956700560817867,-0.003299439185897368,0.9600000000037644
5.41,0.956701709686411,-0.003298290317353403,0.9600000000037644
5.42,0.9567028414402261,-0.003297158563538294,0.9600000000037644
5.43,0.9567039562232981,-0.003296043780466329,0.9600000000037644
5.44,0.956705054206726,-0.0032949457970383733,0.9600000000037644
5.45,0.9567061355877,-0.003293864416064385,0.9600000000037644
5.46,0.9567072005884335,-0.0032927994153308937,0.9600000000037644
5.47,0.9567082494550557,-0.003291750548708672,0.9600000000037644
5.48,0.9567092824564645,-0.003290717547299926,0.9600000000037644
5.49,0.9567102998831444,-0.0032897001206200205,0.9600000000037644
5.5,0.9567113020459537,-0.0032886979578107267,0.9600000000037644
5.51,0.9567122892748898,-0.003287710728874571,0.9600000000037644
5.52,0.9567132619178209,-0.003286738085943486,0.9600000000037644
5.53,0.956714220339209,-0.003285779664555344,0.9600000000037644
5.54,0.9567151649188148,-0.003284835084949589,0.9600000000037644
5.55,0.9567160960503847,-0.003283903953379741,0.9600000000037644
5.56,0.9567170141403365,-0.0032829858634279008,0.9600000000037644
5.57,0.9567179196064379,-0.00328208039732647,0.9600000000037644
5.58,0.9567188128764821,-0.0032811871272823145,0.9600000000037644
5.59,0.9567196943869695,-0.003280305616794932,0.9600000000037644
5.6,0.956720564581791,-0.003279435421973398,0.9600000000037644
5.61,0.9567214239109231,-0.0032785760928413232,0.9600000000037644
5.62,0.9567222728291322,-0.00327772717463215,0.9600000000037644
5.63,0.9567231117946976,-0.0032768882090667972,0.9600000000037644
5.64,0.9567239412681494,-0.003276058735614984,0.9600000000037644
5.65,0.9567247617110304,-0.0032752382927340173,0.9600000000037644
5.66,0.9567255735846765,-0.003274426419087928,0.9600000000037644
5.67,0.956726377349033,-0.003273622654731412,0.9600000000037644
5.68,0.9567271734614856,-0.003272826542278784,0.9600000000037644
5.69,0.9567279623757395,-0.0032720376280248598,0.9600000000037644
5.7,0.9567287445407173,-0.0032712554630470736,0.9600000000037644
5.71,0.956729520399503,-0.0032704796042614115,0.9600000000037644
5.72,0.9567302903883156,-0.0032697096154488126,0.9600000000037644
