t_s,delta_pm_pu,Pm0_pu_sysbase
0.9,0.028334081675605978,1.1175729314683598
0.91,0.02884478298018646,1.1175729314683598
0.92,0.029345586447310557,1.1175729314683598
0.93,0.02983638043743231,1.1175729314683598
0.94,0.030317088025396774,1.1175729314683598
0.95,0.03078766495283526,1.1175729314683598
0.96,0.031248097466403637,1.1175729314683598
0.97,0.03169840006750864,1.1175729314683598
0.98,0.032138613200693736,1.1175729314683598
0.99,0.03256880090093991,1.1175729314683598
1.0,0.0329890484276439,1.1175729314683598
1.01,0.03339945990267017,1.1175729314683598
1.02,0.03380015597678573,1.1175729314683598
1.03,0.03419127154221392,1.1175729314683598
1.04,0.03457295350891774,1.1175729314683598
1.05,0.03494535866270512,1.1175729314683598
1.06,0.03530865161792419,1.1175729314683598
1.07,0.0356630028795515,1.1175729314683598
1.08,0.036008587024419766,1.1175729314683598
1.09,0.036345581012213184,1.1175729314683598
1.1,0.03667416263316978,1.1175729314683598
1.11,0.036994509098925786,1.1175729314683598
1.12,0.037306795780518744,1.1175729314683598
1.13,0.03761119509627788,1.1175729314683598
1.14,0.0379078755504607,1.1175729314683598
1.15,0.03819700092206693,1.1175729314683598
1.16,0.038478729602046555,1.1175729314683598
1.17,0.03875321407497443,1.1175729314683598
1.18,0.03902060054141782,1.1175729314683598
1.19,0.03928102867416093,1.1175729314683598
1.2,0.03953463150264261,1.1175729314683598
1.21,0.03978153541668741,1.1175729314683598
1.22,0.04002186028221301,1.1175729314683598
1.23,0.04025571965865996,1.1175729314683598
1.24,0.04048322110919548,1.1175729314683598
1.25,0.04070446659324317,1.1175729314683598
1.26,0.04091955293069431,1.1175729314683598
1.27,0.04112857232774189,1.1175729314683598
1.28,0.04133161295298087,1.1175729314683598
1.29,0.04152875955352025,1.1175729314683598
1.3,0.04172009410055468,1.1175729314683598
1.31,0.04190569645389046,1.1175729314683598
1.32,0.04208564503573724,1.1175729314683598
1.33,0.04226001750399562,1.1175729314683598
1.34,0.04242889141613485,1.1175729314683598
1.35,0.04259234487504158,1.1175729314683598
1.36,0.04275045714902712,1.1175729314683598
1.37,0.04290330925863998,1.1175729314683598
1.38,0.0430509845238608,1.1175729314683598
1.39,0.0431935690657707,1.1175729314683598
1.4,0.04333115225769321,1.1175729314683598
1.41,0.043463827121504886,1.1175729314683598
1.42,0.04359169066560886,1.1175729314683598
1.43,0.04371484416191408,1.1175729314683598
1.44,0.04383339335965615,1.1175729314683598
1.45,0.04394744863527206,1.1175729314683598
1.46,0.044057125077305095,1.1175729314683598
1.47,0.04416254250722785,1.1175729314683598
1.48,0.044263825436461984,1.1175729314683598
1.49,0.044361102961684294,1.1175729314683598
1.5,0.044454508600351106,1.1175729314683598
1.51,0.044544180068943715,1.1175729314683598
1.52,0.04463025900765734,1.1175729314683598
1.53,0.04471289065453094,1.1175729314683598
1.54,0.0447922234737104,1.1175729314683598
1.55,0.04486840874160967,1.1175729314683598
1.56,0.0449416000961819,1.1175729314683598
1.57,0.045011953053699726,1.1175729314683598
1.58,0.04507962449846919,1.1175729314683598
1.59,0.04514477215042849,1.1175729314683598
1.6,0.045207554015896045,1.1175729314683598
1.61,0.04526812782673948,1.1175729314683598
1.62,0.0453266504731436,1.1175729314683598
1.63,0.04538327743497374,1.1175729314683598
1.64,0.045438162216888074,1.1175729314683598
1.65,0.04549145579180856,1.1175729314683598
1.66,0.045543306057304556,1.1175729314683598
1.67,0.04559385730951755,1.1175729314683598
1.68,0.04564324973815123,1.1175729314683598
1.69,0.045691618946771616,1.1175729314683598
1.7,0.04573909550151924,1.1175729314683598
1.71,0.04578580451141291,1.1175729314683598
1.72,0.045831865242750354,1.1175729314683598
1.73,0.04587739077048785,1.1175729314683598
1.74,0.045922487667639136,1.1175729314683598
1.75,0.045967255735206373,1.1175729314683598
1.76,0.04601178777324436,1.1175729314683598
1.77,0.04605616939383829,1.1175729314683598
1.78,0.0461004788770642,1.1175729314683598
1.79,0.04614478706895184,1.1175729314683598
1.8,0.046189157322465146,1.1175729314683598
1.81,0.04623364547953597,1.1175729314683598
1.82,0.046278299894614426,1.1175729314683598
1.83,0.04632316149716674,1.1175729314683598
1.84,0.04636826389298452,1.1175729314683598
1.85,0.046413633501268835,1.1175729314683598
1.86,0.04645928972683244,1.1175729314683598
1.87,0.04650524516399466,1.1175729314683598
1.88,0.04655150583112213,1.1175729314683598
1.89,0.04659807143210829,1.1175729314683598
1.9,0.046644935643376184,1.1175729314683598
1.91,0.046692086422812196,1.1175729314683598
1.92,0.04673950633828024,1.1175729314683598
1.93,0.04678717291320529,1.1175729314683598
1.94,0.04683505898569731,1.1175729314683598
1.95,0.04688313307930055,1.1175729314683598
1.96,0.04693135978176129,1.1175729314683598
1.97,0.046979700129871946,1.1175729314683598
1.98,0.047028111997133054,1.1175729314683598
1.99,0.04707655048205521,1.1175729314683598
2.0,0.04712496829459393,1.1175729314683598
2.01,0.047173316138220754,1.1175729314683598
2.02,0.04722154308573358,1.1175729314683598
2.03,0.04726959694649135,1.1175729314683598
2.04,0.04731742462335697,1.1175729314683598
2.05,0.047364972457595536,1.1175729314683598
2.06,0.047412186560121736,1.1175729314683598
2.07,0.04745901312778596,1.1175729314683598
2.08,0.047505398743470616,1.1175729314683598
2.09,0.0475512906589481,1.1175729314683598
2.1,0.04759663705973041,1.1175729314683598
2.11,0.04764138731110701,1.1175729314683598
2.12,0.04768549218505889,1.1175729314683598
2.13,0.04772890406747316,1.1175729314683598
2.14,0.04777157714576003,1.1175729314683598
2.15,0.04781346757653378,1.1175729314683598
2.16,0.04785453363384522,1.1175729314683598
2.17,0.0478947358378103,1.1175729314683598
2.18,0.04793403706445511,1.1175729314683598
2.19,0.047972402636845185,1.1175729314683598
2.2,0.04800980039845426,1.1175729314683598
2.21,0.04804620076932896,1.1175729314683598
2.22,0.04808157678568748,1.1175729314683598
2.23,0.048115904124158566,1.1175729314683598
2.24,0.04814916111112434,1.1175729314683598
2.25,0.04818132871860866,1.1175729314683598
2.26,0.0482123905472154,1.1175729314683598
2.27,0.048242332797572195,1.1175729314683598
2.28,0.048271144231060506,1.1175729314683598
2.29,0.048298816120892984,1.1175729314683598
2.3,0.048325342194776154,1.1175729314683598
2.31,0.048350718569861326,1.1175729314683598
2.32,0.048374943681376105,1.1175729314683598
2.33,0.04839801820552953,1.1175729314683598
2.34,0.048419944978001186,1.1175729314683598
2.35,0.04844072890858563,1.1175729314683598
2.36,0.04846037689315545,1.1175729314683598
2.37,0.048478897723467286,1.1175729314683598
2.38,0.04849630199583673,1.1175729314683598
2.39,0.048512602019100404,1.1175729314683598
2.4,0.0485278117227775,1.1175729314683598
2.41,0.04854194656575244,1.1175729314683598
2.42,0.048555023446181386,1.1175729314683598
2.43,0.04856706061293693,1.1175729314683598
2.44,0.04857807757904989,1.1175729314683598
2.45,0.04858809503747916,1.1175729314683598
2.46,0.048597134779363775,1.1175729314683598
2.47,0.04860521961514051,1.1175729314683598
2.48,0.04861237329847993,1.1175729314683598
2.49,0.04861862045332781,1.1175729314683598
2.5,0.048623986503914335,1.1175729314683598
2.51,0.04862849760791541,1.1175729314683598
2.52,0.0486321805925693,1.1175729314683598
2.53,0.04863506289378281,1.1175729314683598
2.54,0.04863717249804866,1.1175729314683598
2.55,0.048638537887089855,1.1175729314683598
2.56,0.04863918798500515,1.1175729314683598
2.57,0.04863915210779915,1.1175729314683598
2.58,0.048638459915033,1.1175729314683598
2.59,0.048637141363440654,1.1175729314683598
2.6,0.048635226662245734,1.1175729314683598
2.61,0.04863274622998273,1.1175729314683598
2.62,0.048629730652595626,1.1175729314683598
2.63,0.04862621064257934,1.1175729314683598
2.64,0.048622216998971214,1.1175729314683598
2.65,0.04861778056797709,1.1175729314683598
2.66,0.04861293220404617,1.1175729314683598
2.67,0.048607702731218755,1.1175729314683598
2.68,0.04860212290459106,1.1175729314683598
2.69,0.04859622337174837,1.1175729314683598
2.7,0.04859003463406985,1.1175729314683598
2.71,0.04858358700777893,1.1175729314683598
2.72,0.048576910584694,1.1175729314683598
2.73,0.04857003519260583,1.1175729314683598
2.74,0.04856299035526205,1.1175729314683598
2.75,0.04855580525196705,1.1175729314683598
2.76,0.04854850867678021,1.1175729314683598
2.77,0.04854112899740787,1.1175729314683598
2.78,0.04853369411378009,1.1175729314683598
2.79,0.048526231416476655,1.1175729314683598
2.8,0.048518767745017385,1.1175729314683598
2.81,0.04851132934621138,1.1175729314683598
2.82,0.048503941832656126,1.1175729314683598
2.83,0.04849663014152943,1.1175729314683598
2.84,0.048489418493902495,1.1175729314683598
2.85,0.04848233035462498,1.1175729314683598
