t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
3.27,1.3321049305303834,-0.05026236713755533,1.3321049305303834,-0.05026236713755533,1.4433422489737604,-0.17061208018643664,0.0,0.0,SG-slack
3.28,1.332381974477138,-0.05024160630822874,1.332381974477138,-0.05024160630822874,1.443619292920515,-0.17059131935711006,0.0,0.0,SG-slack
3.29,1.3326416271152732,-0.05022030380844433,1.3326416271152732,-0.05022030380844433,1.4438789455586503,-0.17057001685732565,0.0,0.0,SG-slack
3.3,1.332883789360966,-0.05019849360953804,1.332883789360966,-0.05019849360953804,1.444121107804343,-0.17054820665841935,0.0,0.0,SG-slack
3.31,1.3331084074759887,-0.05017620990369259,1.3331084074759887,-0.05017620990369259,1.4443457259193657,-0.1705259229525739,0.0,0.0,SG-slack
3.32,1.3333154721456926,-0.05015348699523231,1.3333154721456926,-0.05015348699523231,1.4445527905890696,-0.17050320004411362,0.0,0.0,SG-slack
3.33,1.3335050174325007,-0.050130359191244894,1.3335050174325007,-0.050130359191244894,1.4447423358758777,-0.1704800722401262,0.0,0.0,SG-slack
3.34,1.3336771196214532,-0.05010686069551748,1.3336771196214532,-0.05010686069551748,1.4449144380648302,-0.1704565737443988,0.0,0.0,SG-slack
3.35,1.3338318959585682,-0.050083025502850154,1.3338318959585682,-0.050083025502850154,1.4450692144019452,-0.17043273855173147,0.0,0.0,SG-slack
3.36,1.3339695032963304,-0.050058887297111776,1.3339695032963304,-0.050058887297111776,1.4452068217397074,-0.1704086003459931,0.0,0.0,SG-slack
3.37,1.3340901366536313,-0.050034479351842964,1.3340901366536313,-0.050034479351842964,1.4453274550970083,-0.17038419240072428,0.0,0.0,SG-slack
3.38,1.3341940276968487,-0.05000983443397522,1.3341940276968487,-0.05000983443397522,1.4454313461402257,-0.17035954748285653,0.0,0.0,SG-slack
3.39,1.3342814431542331,-0.049984984712065555,1.3342814431542331,-0.049984984712065555,1.4455187615976102,-0.17033469776094687,0.0,0.0,SG-slack
3.4,1.3343526831705421,-0.04995996166862385,1.3343526831705421,-0.04995996166862385,1.4455900016139192,-0.17030967471750516,0.0,0.0,SG-slack
3.41,1.3344080796085125,-0.049934796016356614,1.3344080796085125,-0.049934796016356614,1.4456453980518895,-0.17028450906523793,0.0,0.0,SG-slack
3.42,1.334447994309776,-0.04990951762026749,1.334447994309776,-0.04990951762026749,1.445685312753153,-0.1702592306691488,0.0,0.0,SG-slack
3.43,1.334472817317887,-0.049884155423917664,1.334472817317887,-0.049884155423917664,1.445710135761264,-0.17023386847279898,0.0,0.0,SG-slack
3.44,1.3344829650767154,-0.04985873738189048,1.3344829650767154,-0.04985873738189048,1.4457202835200924,-0.1702084504307718,0.0,0.0,SG-slack
3.45,1.334478878605872,-0.049833290396944285,1.334478878605872,-0.049833290396944285,1.4457161970492491,-0.1701830034458256,0.0,0.0,SG-slack
3.46,1.3344610216658304,-0.04980784026348767,1.3344610216658304,-0.04980784026348767,1.4456983401092074,-0.17015755331236898,0.0,0.0,SG-slack
3.47,1.3344298789143603,-0.049782411616491495,1.3344298789143603,-0.049782411616491495,1.4456671973577373,-0.1701321246653728,0.0,0.0,SG-slack
3.48,1.3343859540651852,-0.049757027886188826,1.3343859540651852,-0.049757027886188826,1.4456232725085623,-0.17010674093507014,0.0,0.0,SG-slack
3.49,1.3343297680509025,-0.04973171125887138,1.3343297680509025,-0.04973171125887138,1.4455670864942796,-0.1700814243077527,0.0,0.0,SG-slack
3.5,1.3342618571988962,-0.04970648264327779,1.3342618571988962,-0.04970648264327779,1.4454991756422733,-0.1700561956921591,0.0,0.0,SG-slack
3.51,1.3341827714239751,-0.049681361642876565,1.3341827714239751,-0.049681361642876565,1.4454200898673522,-0.17003107469175788,0.0,0.0,SG-slack
3.52,1.334093072442227,-0.049656366534129054,1.334093072442227,-0.049656366534129054,1.445330390885604,-0.17000607958301037,0.0,0.0,SG-slack
3.53,1.333993332012255,-0.04963151424999043,1.333993332012255,-0.04963151424999043,1.445230650455632,-0.16998122729887175,0.0,0.0,SG-slack
3.54,1.3338841302059008,-0.049606820369333754,1.3338841302059008,-0.049606820369333754,1.4451214486492778,-0.16995653341821507,0.0,0.0,SG-slack
3.55,1.3337660537140028,-0.04958229911134904,1.3337660537140028,-0.04958229911134904,1.4450033721573798,-0.16993201216023035,0.0,0.0,SG-slack
3.56,1.3336396941891773,-0.04955796333576035,1.3336396941891773,-0.04955796333576035,1.4448770126325543,-0.16990767638464166,0.0,0.0,SG-slack
3.57,1.3335056466296324,-0.04953382454719679,1.3335056466296324,-0.04953382454719679,1.4447429650730095,-0.1698835375960781,0.0,0.0,SG-slack
3.58,1.333364507806176,-0.04950989290521199,1.333364507806176,-0.04950989290521199,1.444601826249553,-0.1698596059540933,0.0,0.0,SG-slack
3.59,1.3332168747349988,-0.04948617723828244,1.3332168747349988,-0.04948617723828244,1.4444541931783759,-0.16983589028716375,0.0,0.0,SG-slack
3.6,1.3330633431983447,-0.0494626850625591,1.3330633431983447,-0.0494626850625591,1.4443006616417218,-0.16981239811144042,0.0,0.0,SG-slack
