t_s,df_hz
0.7,-0.03967160494383591
0.71,-0.039633730053091676
0.72,-0.03961725080896342
0.73,-0.03962292302743883
0.74,-0.039651106762414276
0.75,-0.0397017867253065
0.76,-0.03977459882990664
0.77,-0.039868858161042096
0.78,-0.0399835858688256
0.79,-0.04011753543995181
0.8,-0.04026921990379621
0.81,-0.040436940964132896
0.82,-0.04061881980929791
0.83,-0.04081282851845486
0.84,-0.04101682105462429
0.85,-0.04122856334409371
0.86,-0.041445762394513495
0.87,-0.04166609455725407
0.88,-0.04188723287131325
0.89,-0.04210687324241254
0.9,-0.04232275912805897
0.91,-0.042532704462778174
0.92,-0.04273461467732821
0.93,-0.04292650576307078
0.94,-0.043106521338745506
0.95,-0.04327294769109091
0.96,-0.0434242267231689
0.97,-0.0435589667630939
0.98,-0.043675951236643244
0.99,-0.04377414520170059
1.0,-0.043852699829832274
1.01,-0.04391095486452851
1.02,-0.043948439159865196
1.03,-0.04396486937065998
1.04,-0.04396014687872806
1.05,-0.04393435309114549
1.06,-0.04388774319804058
1.07,-0.043820738555894884
1.08,-0.043733917795740665
1.09,-0.04362800683053584
1.1,-0.043503867874860776
1.11,-0.04336248763903948
1.12,-0.04320496483892987
1.13,-0.043032497162577295
1.14,-0.0428463678431869
1.15,-0.042647931976304496
1.16,-0.04243860271525218
1.17,-0.042219837481428595
1.18,-0.04199312430736431
1.19,-0.04175996843742577
1.2,-0.041521879291702
1.21,-0.04128035789875589
1.22,-0.04103688488989114
1.23,-0.04079290913869405
1.24,-0.04054983712173327
1.25,-0.040309023066072834
1.26,-0.040071759934818166
1.27,-0.03983927130338507
1.28,-0.03961270415322116
1.29,-0.03939312261244769
1.3,-0.03918150266147077
1.31,-0.03897872780195438
1.32,-0.03878558569660798
1.33,-0.0386027657554901
1.34,-0.03843085766394289
1.35,-0.038270350811555415
1.36,-0.0381216345927903
1.37,-0.03798499954354574
1.38,-0.03786063925714454
1.39,-0.03774865303589887
1.4,-0.037649049218488564
1.41,-0.03756174912437062
1.42,-0.03748659155285225
1.43,-0.0374233377703539
1.44,-0.037371676923348786
1.45,-0.037331231803065176
1.46,-0.037301564903005374
1.47,-0.03728218469352229
1.48,-0.03727255205594124
1.49,-0.037272086805311244
1.5,-0.03728017424326954
1.51,-0.03729617168216629
1.52,-0.03731941488092946
1.53,-0.037349224343881125
1.54,-0.03738491142999607
1.55,-0.03742578423021725
1.56,-0.03747115317091832
1.57,-0.037520336307579456
1.58,-0.03757266427735859
1.59,-0.037627484884228575
1.6,-0.03768416729266382
1.61,-0.037742105815399295
1.62,-0.03780072327856241
1.63,-0.037859473960469466
1.64,-0.03791784609514982
1.65,-0.03797536394467837
1.66,-0.03803158944341094
1.67,-0.03808612341944826
1.68,-0.03813860640985285
1.69,-0.0381887190790166
1.7,-0.038236182260787906
1.71,-0.038280756643612475
1.72,-0.03832224212165536
1.73,-0.03836047683349379
1.74,-0.03839533591937026
1.75,-0.03842673001888871
1.76,-0.03845460354070081
1.77,-0.03847893273302783
1.78,-0.03849972358145257
1.79,-0.038517009567656524
1.8,-0.03853084931351962
1.81,-0.03854132414372806
1.82,-0.0385485355904501
1.83,-0.038552602871308704
1.84,-0.03855366036240896
1.85,-0.03855185509448335
1.86,-0.03854734429214143
1.87,-0.03854029297986526
1.88,-0.03853087167239386
1.89,-0.03851925416871935
1.9,-0.0385056154643884
1.91,-0.038490129796388994
1.92,-0.03847296883204307
1.93,-0.038454300011892324
1.94,-0.03843428505398863
1.95,-0.03841307862563827
1.96,-0.03839082718553185
1.97,-0.03836766799952238
1.98,-0.03834372832844838
1.99,-0.03831912478767352
2.0,-0.03829396287453219
2.01,-0.03826833665843872
2.02,-0.03824232862888209
2.03,-0.038216009692250225
2.04,-0.038189439310147226
2.05,-0.03816266576962014
2.06,-0.038135726574041164
2.07,-0.03810864894517224
2.08,-0.03808145042340136
2.09,-0.038054139555370944
2.1,-0.03802671665563645
2.11,-0.037999174631433194
2.12,-0.037971499856596175
2.13,-0.03794367308373457
2.14,-0.03791567038159794
2.15,-0.03788746408678953
2.16,-0.03785902375790136
2.17,-0.03783031712160777
2.18,-0.03780131100064083
2.19,-0.037771972213955785
2.2,-0.037742268440518735
2.21,-0.03771216903860354
2.22,-0.03768164581355604
2.23,-0.03765067372769282
2.24,-0.03761923154677111
2.25,-0.03758730241891164
2.26,-0.03755487438151168
2.27,-0.037521940794440385
2.28,-0.037488500696683566
2.29,-0.03745455908578515
2.3,-0.03742012712002087
2.31,-0.037385222243204355
2.32,-0.03734986823431667
2.33,-0.037314095183036404
2.34,-0.03727793939454847
2.35,-0.03724144322608148
2.36,-0.03720465485995716
2.37,-0.0371676280161624
2.38,-0.03713042161029348
2.39,-0.03709309936084289
2.4,-0.037055729351998294
2.41,-0.037018383556703865
2.42,-0.036981137326430415
2.43,-0.03694406885279185
2.44,-0.03690725860727953
2.45,-0.036870788764903
2.46,-0.03683474261728848
2.47,-0.036799203981139145
2.48,-0.03676425660748315
2.49,-0.03672998359705498
2.5,-0.03669646682672101
2.51,-0.03666378639194732
2.52,-0.036632020069579406
2.53,-0.0366012428050682
