t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
4.85,0.4375757529556755,0.006074214624554235,1.0940863909106675,0.6565106379549919,0.9993866981965921,10.0
4.86,0.437581039225515,0.006079500894393662,1.0940862827958258,0.6565052435703108,0.9993867025211858,10.0
4.87,0.4375862988866702,0.006084760555548907,1.0940862064348702,0.6564999075481999,0.9993867055756239,10.0
4.88,0.4375915198257937,0.006089981494672345,1.094086163698747,0.6564946438729534,0.999386707285069,10.0
4.89,0.4375966902735291,0.00609515194240776,1.0940861563233586,0.6564894660498295,0.9993867075800844,10.0
4.9,0.4376017988283242,0.006100260497202849,1.094086185907541,0.6564843870792171,0.9993867063967171,10.0
4.91,0.4376068344788522,0.006105296147730855,1.0940862539114922,0.6564794194326401,0.9993867036765591,10.0
4.92,0.4376117866250134,0.006110248293892097,1.0940863616556133,0.6564745750306,0.9993866993667941,10.0
4.93,0.43761664509745013,0.006115106766328858,1.0940865103197932,0.656469865222343,0.999386693420227,10.0
4.94,0.4376214001756039,0.006119861844482609,1.0940867009430988,0.6564653007674948,0.9993866857952948,10.0
4.95,0.43762604260423754,0.006124504273116252,1.0940869344238746,0.6564608918196371,0.9993866764560637,10.0
4.96,0.43763056360845115,0.006129025277329837,1.0940872115202398,0.6564566479117887,0.9993866653722092,10.0
4.97,0.4376349549071471,0.006133416576025787,1.094087532850977,0.6564525779438298,0.9993866525189797,10.0
4.98,0.4376392087249518,0.006137670393830491,1.0940878988967735,0.6564486901718218,0.9993866378771479,10.0
4.99,0.43764331780258464,0.006141779471463348,1.0940883100018524,0.6564449921992678,0.9993866214329447,10.0
5.0,0.43764727540567483,0.0061457370745535145,1.094088766375931,0.6564414909702562,0.9993866031779816,10.0
5.01,0.4376510753320281,0.006149537000906845,1.09408926809651,0.6564381927644819,0.9993865831091583,10.0
5.02,0.43765471191736266,0.00615317358624139,1.0940898151114902,0.6564351031941276,0.9993865612285592,10.0
5.03,0.43765818003949514,0.006156641708373869,1.094090407242081,0.6564322272025858,0.9993865375433355,10.0
5.04,0.43766147512103704,0.006159936789915747,1.0940910441860041,0.6564295690649671,0.9993865120655786,10.0
5.05,0.4376645931305998,0.006163054799478491,1.0940917255209432,0.6564271323903436,0.9993864848121811,10.0
5.06,0.43766753058250063,0.006165992251379371,1.0940924507082745,0.6564249201257739,0.9993864558046878,10.0
5.07,0.43767028453507145,0.006168746203950106,1.094093219097005,0.6564229345619336,0.9993864250691386,10.0
5.08,0.43767285258752636,0.0061713142564051,1.0940940299279451,0.6564211773404186,0.999386392635901,10.0
5.09,0.43767523287545607,0.006173694544334769,1.0940948823380718,0.6564196494626159,0.9993863585394959,10.0
5.1,0.43767742406500787,0.006175885733886522,1.0940957753650657,0.6564183513000579,0.9993863228184162,10.0
5.11,0.43767942534574056,0.0061778870146192415,1.0940967079520347,0.6564172826062942,0.9993862855149374,10.0
5.12,0.43768123642224,0.006179698091118691,1.0940976789523564,0.6564164425301163,0.9993862466749245,10.0
5.13,0.4376828575045223,0.006181319173401033,1.0940986871346707,0.6564158296301484,0.9993862063476319,10.0
5.14,0.43768428929729325,0.006182750966171898,1.0940997311879752,0.6564154418906822,0.9993861645854998,10.0
5.15,0.43768553298806345,0.006183994656942178,1.0941008097268106,0.656415276738747,0.9993861214439463,10.0
5.16,0.4376865902342592,0.006185051903137906,1.094101921296534,0.6564153310622747,0.9993860769811573,10.0
5.17,0.43768746314929324,0.006185924818171898,1.0941030643786518,0.6564156012293585,0.9993860312578726,10.0
5.18,0.43768815428771485,0.006186615956593547,1.0941042373961885,0.6564160831084735,0.9993859843371712,10.0
5.19,0.4376886666294715,0.006187128298350182,1.0941054387190992,0.6564167720896277,0.9993859362842549,10.0
